model,product,parameter,n,probability,value,source_table
gost_r_25645_165_2025,fluence,log10_c,1,0.9,,table_1
gost_r_25645_165_2025,fluence,log10_c,1,0.75,,table_1
gost_r_25645_165_2025,fluence,log10_c,1,0.5,6.041,table_1
gost_r_25645_165_2025,fluence,log10_c,1,0.25,7.241,table_1
gost_r_25645_165_2025,fluence,log10_c,1,0.1,7.991,table_1
gost_r_25645_165_2025,fluence,log10_c,1,0.01,8.732,table_1
gost_r_25645_165_2025,fluence,log10_c,1,0.001,9.442,table_1
gost_r_25645_165_2025,fluence,log10_c,2,0.9,,table_1
gost_r_25645_165_2025,fluence,log10_c,2,0.75,6.076,table_1
gost_r_25645_165_2025,fluence,log10_c,2,0.5,7.041,table_1
gost_r_25645_165_2025,fluence,log10_c,2,0.25,7.775,table_1
gost_r_25645_165_2025,fluence,log10_c,2,0.1,8.253,table_1
gost_r_25645_165_2025,fluence,log10_c,2,0.01,8.983,table_1
gost_r_25645_165_2025,fluence,log10_c,2,0.001,9.6,table_1
gost_r_25645_165_2025,fluence,log10_c,4,0.9,6.378,table_1
gost_r_25645_165_2025,fluence,log10_c,4,0.75,6.972,table_1
gost_r_25645_165_2025,fluence,log10_c,4,0.5,7.87,table_1
gost_r_25645_165_2025,fluence,log10_c,4,0.25,8.173,table_1
gost_r_25645_165_2025,fluence,log10_c,4,0.1,8.571,table_1
gost_r_25645_165_2025,fluence,log10_c,4,0.01,9.236,table_1
gost_r_25645_165_2025,fluence,log10_c,4,0.001,9.732,table_1
gost_r_25645_165_2025,fluence,log10_c,8,0.9,7.324,table_1
gost_r_25645_165_2025,fluence,log10_c,8,0.75,7.874,table_1
gost_r_25645_165_2025,fluence,log10_c,8,0.5,8.22,table_1
gost_r_25645_165_2025,fluence,log10_c,8,0.25,8.52,table_1
gost_r_25645_165_2025,fluence,log10_c,8,0.1,8.82,table_1
gost_r_25645_165_2025,fluence,log10_c,8,0.01,9.442,table_1
gost_r_25645_165_2025,fluence,log10_c,8,0.001,9.86,table_1
gost_r_25645_165_2025,fluence,log10_c,16,0.9,8.14,table_1
gost_r_25645_165_2025,fluence,log10_c,16,0.75,8.38,table_1
gost_r_25645_165_2025,fluence,log10_c,16,0.5,8.63,table_1
gost_r_25645_165_2025,fluence,log10_c,16,0.25,8.859,table_1
gost_r_25645_165_2025,fluence,log10_c,16,0.1,9.01,table_1
gost_r_25645_165_2025,fluence,log10_c,16,0.01,9.647,table_1
gost_r_25645_165_2025,fluence,log10_c,16,0.001,9.982,table_1
gost_r_25645_165_2025,fluence,log10_c,32,0.9,8.64,table_1
gost_r_25645_165_2025,fluence,log10_c,32,0.75,8.82,table_1
gost_r_25645_165_2025,fluence,log10_c,32,0.5,8.986,table_1
gost_r_25645_165_2025,fluence,log10_c,32,0.25,9.137,table_1
gost_r_25645_165_2025,fluence,log10_c,32,0.1,9.367,table_1
gost_r_25645_165_2025,fluence,log10_c,32,0.01,9.81,table_1
gost_r_25645_165_2025,fluence,log10_c,32,0.001,10.19,table_1
gost_r_25645_165_2025,fluence,log10_c,64,0.9,9.037,table_1
gost_r_25645_165_2025,fluence,log10_c,64,0.75,9.176,table_1
gost_r_25645_165_2025,fluence,log10_c,64,0.5,9.322,table_1
gost_r_25645_165_2025,fluence,log10_c,64,0.25,9.465,table_1
gost_r_25645_165_2025,fluence,log10_c,64,0.1,9.671,table_1
gost_r_25645_165_2025,fluence,log10_c,64,0.01,9.978,table_1
gost_r_25645_165_2025,fluence,log10_c,64,0.001,10.21,table_1
gost_r_25645_165_2025,fluence,log10_c,128,0.9,9.441,table_1
gost_r_25645_165_2025,fluence,log10_c,128,0.75,9.556,table_1
gost_r_25645_165_2025,fluence,log10_c,128,0.5,9.658,table_1
gost_r_25645_165_2025,fluence,log10_c,128,0.25,9.799,table_1
